epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,264.876,0.62522,1.04044,0.907,0.98843,1,0.995,0.85191,0.58525,1.02921,0.85297,0.0011486,0.0011486,0.0011486
45,270.688,0.54287,1.0004,0.85309,0.98843,1,0.995,0.85191,0.58525,1.02921,0.85297,0.0011288,0.0011288,0.0011288
46,276.562,0.53466,0.9762,0.82203,0.98843,1,0.995,0.85191,0.58525,1.02921,0.85297,0.001109,0.001109,0.001109
47,282.55,0.57913,1.01978,0.90855,0.98824,1,0.995,0.83304,0.5439,0.95678,0.84515,0.0010892,0.0010892,0.0010892
48,288.175,0.56272,0.89774,0.88929,0.98824,1,0.995,0.83304,0.5439,0.95678,0.84515,0.0010694,0.0010694,0.0010694
49,294.052,0.57691,0.94257,0.85912,0.98795,1,0.995,0.92003,0.47244,0.87269,0.84254,0.0010496,0.0010496,0.0010496
50,299.987,0.56667,0.86805,0.85104,0.98795,1,0.995,0.92003,0.47244,0.87269,0.84254,0.0010298,0.0010298,0.0010298
51,305.793,0.60703,0.9153,0.87188,0.98795,1,0.995,0.92003,0.47244,0.87269,0.84254,0.00101,0.00101,0.00101
52,311.688,0.56869,1.05586,0.85918,0.9875,1,0.995,0.92003,0.44768,0.89398,0.84205,0.0009902,0.0009902,0.0009902
53,317.301,0.53383,0.7917,0.86912,0.9875,1,0.995,0.92003,0.44768,0.89398,0.84205,0.0009704,0.0009704,0.0009704
54,322.931,0.63487,0.85205,0.89498,0.9875,1,0.995,0.92003,0.44768,0.89398,0.84205,0.0009506,0.0009506,0.0009506
55,328.715,0.54383,0.82127,0.87225,0.98718,1,0.995,0.92029,0.36689,0.89761,0.8327,0.0009308,0.0009308,0.0009308
56,334.368,0.67959,0.96402,0.94241,0.98718,1,0.995,0.92029,0.36689,0.89761,0.8327,0.000911,0.000911,0.000911
57,340.415,0.55332,0.87218,0.85967,0.98756,1,0.995,0.92029,0.3968,0.88797,0.837,0.0008912,0.0008912,0.0008912
58,346.602,0.48469,0.76915,0.83264,0.98756,1,0.995,0.92029,0.3968,0.88797,0.837,0.0008714,0.0008714,0.0008714
59,353.551,0.58791,0.97125,0.88582,0.98756,1,0.995,0.92029,0.3968,0.88797,0.837,0.0008516,0.0008516,0.0008516
60,375.334,0.58369,0.95372,0.93407,0.98832,1,0.995,0.95141,0.36757,0.85236,0.83071,0.0008318,0.0008318,0.0008318
61,394.653,0.55102,0.90641,0.904,0.98832,1,0.995,0.95141,0.36757,0.85236,0.83071,0.000812,0.000812,0.000812
62,411.907,0.57618,0.9812,0.89061,0.98832,1,0.995,0.95141,0.36757,0.85236,0.83071,0.0007922,0.0007922,0.0007922
63,424.9,0.49962,0.75538,0.85205,0.98856,1,0.995,0.95141,0.32785,0.76478,0.82508,0.0007724,0.0007724,0.0007724
64,431.214,0.51655,0.85335,0.86471,0.98856,1,0.995,0.95141,0.32785,0.76478,0.82508,0.0007526,0.0007526,0.0007526
65,437.577,0.48077,0.8012,0.85043,0.98877,1,0.995,0.85803,0.41779,0.71223,0.82924,0.0007328,0.0007328,0.0007328
66,443.805,0.52846,0.7957,0.89187,0.98877,1,0.995,0.85803,0.41779,0.71223,0.82924,0.000713,0.000713,0.000713
67,450.334,0.59789,0.77469,0.91452,0.98877,1,0.995,0.85803,0.41779,0.71223,0.82924,0.0006932,0.0006932,0.0006932
68,457.101,0.55894,0.8944,0.86736,0.98945,1,0.995,0.82904,0.47608,0.7244,0.83332,0.0006734,0.0006734,0.0006734
69,463.593,0.5103,0.68305,0.8519,0.98945,1,0.995,0.82904,0.47608,0.7244,0.83332,0.0006536,0.0006536,0.0006536
70,470.01,0.5637,0.74,0.83546,0.98945,1,0.995,0.82904,0.47608,0.7244,0.83332,0.0006338,0.0006338,0.0006338
71,476.409,0.50326,0.72673,0.83018,0.98926,1,0.995,0.90778,0.41649,0.72684,0.83042,0.000614,0.000614,0.000614
72,482.772,0.51439,0.72713,0.87176,0.98926,1,0.995,0.90778,0.41649,0.72684,0.83042,0.0005942,0.0005942,0.0005942
73,489.199,0.4879,0.82476,0.8854,0.98909,1,0.995,0.95141,0.34057,0.68206,0.82835,0.0005744,0.0005744,0.0005744
74,495.834,0.52723,0.79288,0.85694,0.98909,1,0.995,0.95141,0.34057,0.68206,0.82835,0.0005546,0.0005546,0.0005546
75,502.217,0.5962,0.85421,0.88379,0.98909,1,0.995,0.95141,0.34057,0.68206,0.82835,0.0005348,0.0005348,0.0005348
76,508.619,0.53831,0.76502,0.86859,0.98917,1,0.995,0.995,0.28533,0.69321,0.82536,0.000515,0.000515,0.000515
77,514.879,0.4556,0.6927,0.85539,0.98917,1,0.995,0.995,0.28533,0.69321,0.82536,0.0004952,0.0004952,0.0004952
78,521.06,0.45697,0.71268,0.86766,0.98917,1,0.995,0.995,0.28533,0.69321,0.82536,0.0004754,0.0004754,0.0004754
79,527.432,0.47079,0.67101,0.82336,0.98921,1,0.995,0.94504,0.30426,0.70225,0.82532,0.0004556,0.0004556,0.0004556
80,533.761,0.49955,0.76425,0.83493,0.98921,1,0.995,0.94504,0.30426,0.70225,0.82532,0.0004358,0.0004358,0.0004358
81,540.151,0.52376,0.77548,0.88009,0.98892,1,0.995,0.94504,0.3255,0.66653,0.82682,0.000416,0.000416,0.000416
82,546.64,0.48814,0.73966,0.80162,0.98892,1,0.995,0.94504,0.3255,0.66653,0.82682,0.0003962,0.0003962,0.0003962
83,553.02,0.48355,0.69459,0.84308,0.98892,1,0.995,0.94504,0.3255,0.66653,0.82682,0.0003764,0.0003764,0.0003764
84,559.86,0.59415,0.76647,0.88573,0.9891,1,0.995,0.94504,0.32359,0.6715,0.82675,0.0003566,0.0003566,0.0003566
85,566.279,0.54125,0.72295,0.86936,0.9891,1,0.995,0.94504,0.32359,0.6715,0.82675,0.0003368,0.0003368,0.0003368
86,572.746,0.43011,0.7239,0.83433,0.9891,1,0.995,0.94504,0.32359,0.6715,0.82675,0.000317,0.000317,0.000317
87,579.304,0.49162,0.70872,0.8742,0.98925,1,0.995,0.96378,0.32225,0.63577,0.8266,0.0002972,0.0002972,0.0002972
88,585.762,0.45596,0.7172,0.83767,0.98925,1,0.995,0.96378,0.32225,0.63577,0.8266,0.0002774,0.0002774,0.0002774
89,592.306,0.42926,0.66847,0.86505,0.98932,1,0.995,0.995,0.32881,0.65004,0.8261,0.0002576,0.0002576,0.0002576
90,598.93,0.48771,0.74169,0.82878,0.98932,1,0.995,0.995,0.32881,0.65004,0.8261,0.0002378,0.0002378,0.0002378
91,605.283,0.41709,0.83702,0.79462,0.98932,1,0.995,0.995,0.32881,0.65004,0.8261,0.000218,0.000218,0.000218
92,611.747,0.45473,0.83805,0.8225,0.98941,1,0.995,0.995,0.33678,0.69559,0.82542,0.0001982,0.0001982,0.0001982
93,618.364,0.4189,0.88062,0.78869,0.98941,1,0.995,0.995,0.33678,0.69559,0.82542,0.0001784,0.0001784,0.0001784
94,624.776,0.41235,0.80338,0.80712,0.98941,1,0.995,0.995,0.33678,0.69559,0.82542,0.0001586,0.0001586,0.0001586
95,631.219,0.3952,0.81023,0.78772,0.98934,1,0.995,0.995,0.32682,0.67974,0.82521,0.0001388,0.0001388,0.0001388
96,637.448,0.39263,0.78775,0.80343,0.98934,1,0.995,0.995,0.32682,0.67974,0.82521,0.000119,0.000119,0.000119
97,643.82,0.42271,0.80288,0.8103,0.98919,1,0.995,0.995,0.31461,0.67407,0.82438,9.92e-05,9.92e-05,9.92e-05
98,650.238,0.39999,0.83619,0.75641,0.98919,1,0.995,0.995,0.31461,0.67407,0.82438,7.94e-05,7.94e-05,7.94e-05
99,656.52,0.36074,0.80185,0.84778,0.98919,1,0.995,0.995,0.31461,0.67407,0.82438,5.96e-05,5.96e-05,5.96e-05
100,662.769,0.38164,0.79756,0.78319,0.98917,1,0.995,0.995,0.313,0.67958,0.82417,3.98e-05,3.98e-05,3.98e-05
